What is your gender?,What is your age?,What country do you reside in?,What is the first word that pops into your head?,Name an object you would put into a time capsule.,What is another word one can use instead of 'whatchamacallit'?,What is one thing in the world that there's just too little of?
Female,23,United States,What,Diary,Thingamajig,Clean water
Male,21,USA,potato,newspaper,thingamajig,
Male,18,Canada,Dolphin,Picture,Thingy,Equality
Male,36,USA,pickles,smartphone with a cracked screen,thingamajig,sympathy
Female,20,Canada,Gripe,Book,Doo-dad,Sense
Male,17,Canada,the,Cellphone,thingy,time
Male,16,USA,Wow,A book,Thingamajig,Gold
Male,23,Israel ,elef,,"""how do you say?""",Bees
Female,15,USA,lollipop,Some poloroids,thingamajig,Pandas
Female,26,United States ,jeans ,A letter from my boyfriend,Thingy ,Equality
Male,23,United States,banana,Nintendo System,thing,Plankton 
Male,23,Germany,Pop,Myself,Tillacamahctahw,Empathy
Male,21,USA,Tangerines,"Another, smaller time capsule for an earlier date.",Thinger,"Spare $1,000,000 bills"
Male,22,Canada,word,A map to something that doesn't exist.,whatsitcalled,Robots
Female,21,USA,What,A picture and a note,Thing,Pandas
Male,18,USA,Tiger,Newspaper,Thing,Time
Male,19,US,Hey,Letter ,Thingy,People helping each other
Male,27,USA,Blue,Harry Potter and the Deathly Hollows,thingy,Nintendo consoles
Female,28,usa,,letter,doohickey,time
Female,25,Canada ,Bank,Wine,Thingamajig ,Water
Male,33,Canada,candycane,paperclip,thingy,patience
Female,30,United States ,Head,iPhone 7,Thingamajig,Smart people raising kids
Female,24,usa,cat,photo album/scrapbook,doo-hickey,environmental protection laws
Female,21,USA,Lollipop,Photo,Thingamajig,Helium
Female,34,Scotland ,Fun,Newspaper,Thingumybob ,Love
Male,18,Australia ,What,Phone with music,Dinger,Good People
Female,22,Australia,fish,An SD card,thingymajig,time
Female,19,USA,mango,a cheap computer. chromebook maybe,thingy,clean water
Male,35,uk,incontrivertable,myself,thingamajig,sleep
Male,18,USA,Extrapolate,Smartphone,dis,Time
Male,28,australia,pop,USB drive with photos and diary,thingamabob,patience
Female,23,USA,Poop,Newspaper ,Thingamabob,Kindness
Male,20,Australia,Pants,Usb,thing,
Female,19,Austria,Institutionalisation,USB Stick with some pictures,That thing there?,Fresh water?
Female,34,Usa,Word,Smartphone with images and documents from my life,Thingawhatsit,Time
Male,22,Australia,Pizza,Paper,Hoozmahgubby,Resources
Male,18,Germany,Tomato,used protein shaker,watermelon,Death
Male,24,Poland,snowman,newspaper,yadda yadda yadda,intellect
Male,18,Germany ,Fork ,A Video Game ,What's its face?,Opportunities to bring up the joke you prepared for a special setting 
Male,19,Germany ,Magnet,My Lars polar bear teddy,I have no idea if that is a thing for native speakers so no idea,Pineapple-based food
Female,32,USA,Popcorn,Current hit song,Thingamajig,Love
Male,32,USA,mustard,newspaper,thingamajig,Compassion
Male,30,USA,Lettuce,You,thing,Responsibility
Female,17,United States,poptart,A current history book,thingamajig,Bees
Female,25,sweden,meep,newspaper,thingamabob,food
Female,17,USA,Death,Love letter,That thing,Good people
Female,19,Canada,Dog,A letter to myself ,Thingamabob ,Fresh water
Female,18,Sg,word,Letter,,love
Male,20,Czech Republic,Hello,The rarest Pepe,Tentononc,F-22A
Male,26,United States,Farfignughen,"Floppy disk, empty",Whatsumgibser,Women
Male,24,Usa,Storm,Beer,Thingamabob,Time
Male,18,United States,poop,iPhone,thingamajig,common sense
Male,27,USA,Feet,Newspaper,Thingy,Food
Female,22,USA,mellow,book,thingy,puppies
Female,35,uk,human,a joint + lighter,thingamyjig,Stalin
Male,50,UK,pop,photographs,thingymajig,love
Male,15,United States,Noodles,my hard drive,it,money
Male,30,Canada,Unusual,A vast collection of YouTube videos on safe storage,Thingy,Critical thinking
Male,22,USA,Balloon,Newspapers,Thingamajig,Sleep
Male,20,Norway,Defecate,A letter ,Tingetang,
Male,56,Canada,What,Clock,Thingamabob,Thoughtfulness
Male,16,Canada,Pickles,Clothes?,Thingamajigger,Graphene
Female,25,USA ,Greg,Yearbook,Thingamabob,Kindness
Female,20,United States,Elephant,A shirt,thingy,"time for enjoyment. Too worried about work, school, events."
Female,17,United States of America,Cool,Cheese,That,People
Male,26,Netherlands,Marsupial,Smartphone,Thingy,Statesmen
Male,26,United Kingdom,plethora,Newspaper,thingummybob,Vegans
Female,23,The Netherlands,Bubbles,Book,Whatzits,Puppies
Male,24,USA,bazooka,a newspaper,widget,charcuterie
Female,22,Netherlands,Rain,Internet,Whatcha,Money
Female,30,Australia,crabapple,Photo,thingy,fear
Female,21,Russia,fur,Photo,hudubr,cats
Male,22,United Kingdom ,Avocado ,Contact lenses ,Thingamajig,Free time 
Female,27,Australia,Garabage,Note,Thingamajiggy,Happiness
Female,35,US,FIrst,Newspaper,Thingy ,Kindness 
Female,34,usa,circles,poison gas,thingamajig,tole
Male,35,Latvia,fox,The stupid things today's snowflakes say,,intelligence
Male,18,USA,Bye,Pictures,Thing,Freedom
Female,18,australia,callous,cat,thingamajig,common sense
Female,31,England,Bubble,Newspaper,Thingumabob,Chocolate
Male,22,The Netherlands ,What,A stone,Whatchamacallitwhatchamacallitwhatchamacallitwhatchamacallit,Deez nuts
Female,27,Canada,Banana,A treasure map and a Blu Ray copy of Space Jam,"Thingymabob, doohickey","Love, sweet love"
Female,21,australia,popcorn,iphone w pics on it,thinngy,"puppies!, love"
Male,22,Switzerland,Emission,A beech tree seed,Thing,Free love
Male,23,Sweden,Fist,Futuristic sci fi book,That ting,Antimatter
nonbinary,23,Canad,dentistry,travel sized bottle of honey,thing,helium
Male,22,Poland,grandpa,"computer schematics and a hard drive loaded with music, movies, etc.",whatshisname,happiness
