workDate,itemID,duration,rateApplied,payout,payType,projectName,status
"Mar 4, 2025","67c4b8b7c4f79e7b8dd84e7a","1h 1m 49s","$6.60/hr","$6.80","overtimePay","mighty_moo","processed"
"Mar 4, 2025","67c4b8b7c4f79e7b8dd84e7a","25m ","$22.00/hr","$9.17","prepay","mighty_moo","processed"
"Mar 3, 2025","67c58ee8c87d22c53eefc958","1h 16m 26s","$6.60/hr","$8.41","trainingTask","green_wizards","processed"
"Mar 3, 2025","67c5736403e69ef07ec48e8a","1h 20m ","$6.60/hr","$8.80","trainingTask","green_wizards","processed"
"Feb 24, 2025","67bc0f1b2e2da721a35b51e1","20m ","$18.00/hr","$6.00","pay","Preference Ranking w/o Criteria Group","processed"
"Feb 23, 2025","67ae1711d592449b083ba76f","20m ","$18.00/hr","$6.00","prepay","Preference Ranking w/o Criteria Group","processed"
"Feb 23, 2025","67ae17322a3dd8452c07745f","17m 17s","$18.00/hr","$5.19","prepay","Preference Ranking w/o Criteria Group","processed"
"Feb 23, 2025","67ae174463833a5e8d8ff56b","20m ","$18.00/hr","$6.00","prepay","Preference Ranking w/o Criteria Group","processed"
"Feb 23, 2025","67ae172e24ad358a8c95801e","20m ","$18.00/hr","$6.00","prepay","Preference Ranking w/o Criteria Group","processed"
"Feb 23, 2025","67ae1734bb67c105b4c2fe36","20m ","$18.00/hr","$6.00","prepay","Preference Ranking w/o Criteria Group","processed"
"Feb 22, 2025","67ba15c205cd1f3a06c556a0","20m ","$5.40/hr","$1.80","trainingTask","Preference Ranking w/o Criteria Group","processed"
"Feb 22, 2025","67ba0f0f9f21e97c4e1581c8","20m ","$5.40/hr","$1.80","trainingTask","Preference Ranking w/o Criteria Group","processed"
"Feb 22, 2025","67b9f72ffebfaf445236e661","7m 31s","$4.13/hr","$0.52","overtimePay","mighty_moo","processed"
"Feb 22, 2025","67b9f72ffebfaf445236e661","50m ","$13.75/hr","$11.46","prepay","mighty_moo","processed"
"Feb 22, 2025","67b9f451f2234979d97991a5","17m 46s","$5.40/hr","$1.60","trainingTask","Preference Ranking w/o Criteria Group","processed"
"Feb 22, 2025","67b9c0244a99f3d3d87a8b71","1h 40m 32s","$4.13/hr","$6.91","overtimePay","mighty_moo","processed"
"Feb 22, 2025","67b9c0244a99f3d3d87a8b71","50m ","$13.75/hr","$11.46","prepay","mighty_moo","processed"
"Feb 22, 2025","67b98031ec6e12b954756ea3","37m 33s","$4.13/hr","$2.58","overtimePay","mighty_moo","processed"
"Feb 22, 2025","67b98031ec6e12b954756ea3","50m ","$13.75/hr","$11.46","prepay","mighty_moo","processed"
"Feb 22, 2025","67b9137b1cd609f7e504c927","2m 57s","$4.13/hr","$0.20","overtimePay","mighty_moo","processed"
"Feb 22, 2025","67b9137b1cd609f7e504c927","50m ","$13.75/hr","$11.46","prepay","mighty_moo","processed"
"Feb 22, 2025","67b9134eb909ce26b1ee3e32","49m 59s","$13.75/hr","$11.46","prepay","mighty_moo","processed"
"Feb 21, 2025","67b7f2dbdf9159fb1022e348","6m 44s","$8.25/hr","$0.93","overtimePay","matcha_image_coding","processed"
"Feb 21, 2025","67b7f2dbdf9159fb1022e348","30m ","$27.50/hr","$13.75","prepay","matcha_image_coding","processed"
"Feb 21, 2025","67b7f2d5725c8c6c8e703ef7","2m 31s","$8.25/hr","$0.35","overtimePay","matcha_image_coding","processed"
"Feb 21, 2025","67b7f2d5725c8c6c8e703ef7","30m ","$27.50/hr","$13.75","prepay","matcha_image_coding","processed"
"Feb 19, 2025","67b53b2c2db5e865203b1e78","14s","$5.78/hr","$0.02","overtimePay","jellyfish_instruction_hierarchy","processed"
"Feb 19, 2025","67b53b2c2db5e865203b1e78","35m ","$19.25/hr","$11.23","prepay","jellyfish_instruction_hierarchy","processed"
"Feb 19, 2025","67b55f69b274505539a7e5d2","34m 44s","$19.25/hr","$11.15","prepay","jellyfish_instruction_hierarchy","processed"
